#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0002;A new religion is spreading in China! Great numbers of [From.Religion.GetGroupName] traders have been entering China for some time now, & the [offmap_china.GetShortName] have been increasingly exposed to [From.Religion.GetFullName] ideas. The [From.Religion.GetFullName] community is still small, but [offmap_china.GetShortName] translations of [From.Religion.GetScriptureName] are already appearing. Who knows, perhaps one day the [From.Religion.GetFullName] faithful will be a potent force in the [offmap_china.GetShortName] community?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPT_kccspread.0002a;May [From.Religion.GetHighGodNameCap] guide the [offmap_china.GetName] into the light.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPT_kccspread.0002b;The delusions of infidels are no concern of ours.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0003a;The [offmap_china.GetShortName] [offmap_china.Ruler.GetTitle], [offmap_china.Ruler.GetDynName], does not share the faith of [offmap_china.Ruler.GetHerHis] subjects. As part of [offmap_china.Ruler.GetHerHis] ongoing quest to pacify the people of the [offmap_china.GetName], [offmap_china.Ruler.GetSheHe] has been working to spread the [offmap_china.Ruler.Religion.GetName] faith among the people of the middle kingdom, and [offmap_china.Ruler.GetHerHis] efforts have begun to bear fruit. The [offmap_china.Ruler.Religion.GetName] community is but a small minority, but they are growing in influence & numbers both.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0003b;The [KCCGetGoodWaxWaneReligion] community has been a small force in the background of [offmap_china.GetName] society for some time now, unimportant & irrelevant, but perhaps that is soon to change. Their numbers are growing, and while they are still but one minority religion in the vast [offmap_china.GetName], they appear to be on the rise. Will this trend continue? Who can say, but for now, things are looking up for the [offmap_china.GetShortName] [KCCGetGoodWaxWaneReligion] faithful.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPT_kccspread.0003a;May [Root.Religion.GetHighGodNameCap] guide the [offmap_china.GetName] into the light.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0004a;The [offmap_china.GetShortName] [offmap_china.Ruler.GetTitle], [offmap_china.Ruler.GetDynName], does not share the faith of most of [offmap_china.Ruler.GetHerHis] subjects. As part of [offmap_china.Ruler.GetHerHis] ongoing quest to pacify the people of the [offmap_china.GetName], [offmap_china.Ruler.GetSheHe] has been working to spread the [offmap_china.Ruler.Religion.GetName] faith among the people of the middle kingdom, and [offmap_china.Ruler.GetHerHis] efforts have continued to bear fruit. The [offmap_china.Ruler.Religion.GetName] community is now a sizeable minority, with a noticeable impact on [offmap_china.GetName] society.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0004b;The [KCCGetGoodWaxWaneReligion] community has been a minor force in the background of [offmap_china.GetName] society for some time now, but that is changing. Their growth continues, and while they are still but just a minority, they are no longer an ignorable one. Will this trend continue? Who can say, but for now, things are looking up for the [offmap_china.GetShortName] [KCCGetGoodWaxWaneReligion] faithful.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0005a;The [offmap_china.GetShortName] [offmap_china.Ruler.GetTitle], [offmap_china.Ruler.GetDynName], only has common faith with a fraction of [offmap_china.Ruler.GetHerHis] subjects. As part of [offmap_china.Ruler.GetHerHis] ongoing quest to pacify the people of the [offmap_china.GetName], [offmap_china.Ruler.GetSheHe] has been working to spread the [offmap_china.Ruler.Religion.GetName] faith among the people of the middle kingdom, and [offmap_china.Ruler.GetHerHis] efforts have borne fruit both bountiful & exquisite. The [offmap_china.Ruler.Religion.GetName] community is not quite a majority, but they are ubiquitous- [offmap_china.Ruler.Religion.GetName] temples exist in every town & village, and the [offmap_china.Ruler.Religion.GetName] community shall surely thrive in the middle kingdom long after the [offmap_china.Ruler.GetOnlyDynastyName] dynasty has fallen.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_kccspread.0005b;The [KCCGetGoodWaxWaneReligion] community can no longer be called a mere a minor force in the background of [offmap_china.GetName] society. [KCCGetGoodWaxWaneReligion] temples exist in every town & village, [KCCGetGoodWaxWaneReligion] clergy are a common sight in all but the smallest settlements, and pious [KCCGetGoodWaxWaneReligion]s can be found at all levels of [offmap_china.GetName] society. Will their rise to power provoke a backlash from the [offmap_china.Ruler.Religion.GetName] [offmap_china.Ruler.GetTitle] [offmap_china.Ruler.GetDynName]? Who can say, but for now, things are certainly looking up for the [offmap_china.GetShortName] [KCCGetGoodWaxWaneReligion] faithful.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
