#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bloodline_effect_kcc_chinese_command;Characters can get §YChinese Commander Traits!§!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
chinese_group_opinion;Chinese Opinion;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_dragontamer_kcc;the Tamer of the Dragon;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_dragontamer;Dragonsbane Blood of [From.Founder.GetFirstName];FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_dragontamer_desc;The great [From.Founder.GetFullName] is known the world over for invading the Middle Kingdom and forcing the mighty eastern dragon to bend the knee.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_dragonslayer_kcc;the Dragonslayer;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_dragonlayer_kcc;the Dragonlayer;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_military_secrets;[Root.GetTitledFirstName] will plunder militay secrets from the Middle Kingdom;;;;;;;;;;;;;x
kccp_christian_key;Christian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_latin_key;western Christian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_catholic_key;Catholic;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_cathar_key;Cathar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_fraticelli_key;Fraticelli;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_waldensian_key;Waldensian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_lollard_key;Lollard;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_byzantine_key;eastern Christian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_orthodox_key;Orthodox Christian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_bogomilist_key;Bogomilist;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_monothelite_key;Monothelite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_iconoclast_key;Iconoclast;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_paulician_key;Paulician;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_nonchalcedonian_key;non-Chalcedonian Christian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_miaphysite_key;Miaphysite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_monophysite_key;Monophysite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_nestorian_key;Nestorian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_messalian_key;Messalian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_muslim_key;Muslim;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_sunni_key;Sunni;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_shia_key;Shiite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_ibadi_key;Ibadi;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_all_mazdan_key;Mazdan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_no_zoro_mazdan_key;heretical Mazdayasnan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_zoroastrian_key;Zoroastrian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_mazdaki_key;Mazdaki;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_manichean_key;Manichean;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_india_key;Dharman;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_all_pagan_key;Pagan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_northern_pagan_key;Northern Pagan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_eastern_pagan_key;Asiatic Pagan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_classical_pagan_key;Classical Pagan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_african_key;African;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kccp_aztec_key;Nahuatl;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
